class,1kHz_cond,2kHz_cond,3kHz_cond,7kHz_cond,11kHz_cond,17kHz_cond,23kHz_cond,31kHz_cond,43kHz_cond,61kHz_cond,89kHz_cond,127kHz_cond,179kHz_cond,251kHz_cond,349kHz_cond
skin,7304.815677,7437.975001,7861.389136,7440.147503,7363.393953,7310.558086,7282.855844,7238.129836,7182.631325,7119.541667,7002.550861,6873.128158,6720.413548,6526.359153,6319.034449
skin,7211.734505,7334.275242,7644.061422,7311.201351,7238.212652,7203.249352,7190.992019,7164.342329,7129.709272,7089.083333,7002.28176,6899.21476,6771.714321,6605.53029,6419.786816
skin,4746.045571,4828.438591,4957.044641,4813.865493,4780.476248,4780.155813,4782.696395,4778.677918,4769.553396,4753.335089,4704.217484,4635.575404,4538.978708,4405.901242,4257.901842
skin,7104.264105,7241.14846,7514.476348,7301.700729,7275.7001,7281.361998,7297.51187,7291.385167,7281.579408,7260.041667,7187.962052,7092.657695,6972.444472,6810.632216,6628.380605
skin,7275.901216,7338.645406,7634.259542,7307.138795,7245.676671,7216.326402,7204.375189,7175.438762,7137.275195,7087.25,6987.92966,6869.009221,6725.65959,6543.97409,6343.84993
skin,6882.79511,7000.112778,7211.719114,6971.897992,6893.763249,6843.140959,6816.554197,6773.325156,6722.055781,6662.75,6560.909838,6448.04405,6319.560682,6160.544942,5994.163486
skin,7103.720089,7289.953322,7603.114857,7312.864759,7239.082896,7196.396138,7178.336196,7142.866579,7101.258251,7052.916667,6963.172287,6860.967487,6737.863542,6579.908562,6410.359959
skin,7520.878843,7882.444773,8335.041292,8041.825033,7955.278933,7920.162468,7910.872317,7872.097852,7820.036054,7751.582647,7579.844796,7411.53207,7297.91999,7146.276843,6975.524975
skin,6758.977023,6916.995082,7147.303784,6927.337835,6865.681134,6839.399664,6829.50096,6802.311757,6770.052103,6730.166667,6646.125431,6550.772301,6432.930421,6282.120038,6118.240892
skin,7094.335809,7321.249334,7710.935542,7444.082104,7413.265648,7415.104556,7427.852308,7422.202302,7416.899088,7403.666667,7353.370003,7290.562812,7211.3879,7101.8872,6971.560551
skin,5181.516974,5432.942105,5622.666569,5555.090534,5543.173176,5557.371706,5571.249413,5571.223629,5575.078834,5575.936906,5552.238571,5519.29768,5464.313467,5381.040388,5282.623888
skin,5495.050946,5765.527396,6063.850863,6059.614359,6114.325561,6211.421537,6282.136579,6339.507454,6402.553171,6465.458333,6493.63437,6503.992944,6493.894956,6449.62208,6391.150658
skin,5303.471393,5548.331501,5824.438594,5743.438777,5752.80598,5801.627347,5838.85544,5859.643329,5883.223508,5899.375,5874.341261,5829.66411,5757.295374,5650.800679,5545.290661
skin,6049.199087,6326.459071,6594.954084,6498.338369,6524.411469,6596.984722,6660.502071,6712.106058,6772.416454,6824.458333,6836.694407,6821.837585,6776.46337,6688.480632,6578.257873
skin,5382.542982,5569.577377,5780.094282,5631.926375,5624.250015,5664.807836,5710.442469,5749.207398,5801.02291,5860.375,5899.726538,5925.968781,5931.35354,5902.40604,5858.586224
skin,6484.52085,6856.01015,7175.397331,7088.528523,7102.822716,7147.374683,7185.391454,7204.576335,7226.765875,7250,7239.764162,7223.97333,7195.484108,7146.725223,7086.415373
skin,5538.477458,5706.826227,5940.868128,5736.753154,5690.918219,5693.304616,5703.314476,5701.538026,5705.306107,5713.333333,5694.805462,5673.732923,5636.904312,5580.669331,5508.910419
skin,3185.419539,3302.667156,3404.265603,3354.741728,3344.244829,3344.770642,3347.369329,3340.415926,3327.468133,3305.550136,3261.166289,3204.34023,3131.999993,3044.018605,2952.261399
skin,3366.572548,3599.719402,3722.237244,3753.2348,3761.729658,3768.738625,3769.692305,3764.353313,3750.305726,3731.23753,3689.904086,3642.764864,3582.96679,3511.468439,3435.811764
skin,6238.326319,6651.007174,6937.983348,6911.663409,6924.389155,6962.72254,6996.754218,7011.596528,7028.239215,7035.5,7007.304995,6960.36136,6895.520923,6796.284049,6685.130887
skin,3866.658722,4565.953531,4881.592981,5195.246499,5318.364822,5439.569752,5511.615913,5572.208158,5625.731442,5687.333333,5719.831936,5731.545146,5711.627194,5651.505276,5583.171855
skin,5464.434916,5936.330315,6277.784988,6319.266039,6359.332813,6420.899096,6462.554804,6493.989432,6522.189323,6545.958333,6531.577734,6493.940777,6436.022825,6338.551892,6224.690227
skin,1578.860235,1624.523522,1645.100877,1653.384677,1653.318381,1644.427687,1630.957355,1612.013098,1581.469625,1534.695458,1459.085573,1372.262,1293.763466,1224.840123,1161.81052
skin,1738.652809,1806.533549,1832.979895,1871.064803,1887.996101,1903.909861,1913.395492,1922.787604,1933.078563,1944.84482,1959.270898,1976.888844,2036.213138,2120.277741,2197.50656
skin,5393.620481,5704.232324,5998.847802,6026.858006,6091.665737,6192.365408,6270.64451,6337.091904,6412.444038,6477.25,6506.057907,6508.308021,6483.016321,6415.288965,6330.836934
